URL,チャンネル名,登録者数,総再生数,投稿数,軍事部系最後の投稿日,初投稿日,失踪期間,活動期間(day),投稿頻度(1/year),平均再生数,登録者増加数,前回調査以降の投稿数
https://www.youtube.com/channel/UCR-TrCtPAXeXa_lLuGNXAfA,Fuzawaゆっくり,3090,252475,53,2020/09/25,2018/05/18,672,1533,12.62,4763.7,80,0
https://www.youtube.com/channel/UCR0g5kMYlSx97D_1VB2rYUQ,ひーくんくん,1530,2422938,45,2015/12/09,2014/06/14,2424,2967,5.54,53843.1,-10,0
https://www.youtube.com/channel/UCcm1NaNtpLjx1YumxbNXlSw,pastelair,4330,1339257,15,2021/09/08,2019/08/31,324,1063,5.15,89283.8,480,1
https://www.youtube.com/channel/UCKtXUFzaJPvPHIe5ZxbPyJA,ただのまふぃん,1790,57378,50,2020/06/15,2015/07/17,774,2569,7.10,1147.6,-100,0
https://www.youtube.com/channel/UCYn4nvL7AFX6cfZ0ZDwVVcQ,harutakaチャンネル,2770,3259390,33,2015/09/07,2015/08/28,2517,2527,4.77,98769.4,-30,0
https://www.youtube.com/channel/UCnSy2DH66WERLueMUeLsEVg,Toilet Eastern,1030,0,0,2013/04/27,2013/04/27,3380,3380,0.00,#DIV/0!,-10,0
https://www.youtube.com/channel/UCOrENzNp5pp3JCU6Tgpa-3w,ＳＳのチャンネル,1380,554400,58,2016/07/18,2014/09/20,2202,2869,7.38,9558.6,-10,0
https://www.youtube.com/channel/UC9CQbTJmS3v2xGHyVmGu4wA,ペングイーーん,4050,630852,16,2022/06/05,2020/03/10,54,871,6.70,39428.3,960,4
https://www.youtube.com/channel/UCOvgLogPPNM5GJ_zZmkvmBw,Masa,931,572510,6,2022/04/13,2017/11/10,107,1722,1.27,95418.3,30,1
https://www.youtube.com/user/o0oKILLAo0o,KILLA / デジタルゲームチャンネル,882,769950,381,2015/05/23,2011/09/04,2624,3981,34.93,2020.9,13,21
https://www.youtube.com/user/takahiko102,PC RT5,36,0,0,2012/12/11,2012/12/11,3517,3517,0.00,#DIV/0!,0,0
https://www.youtube.com/channel/UCVlkgSmsOXTMH2HF3WoIccQ,void hoge,771,262430,129,2020/07/24,2015/04/29,735,2648,17.78,2034.3,41,3
https://www.youtube.com/channel/UCC20Z9qdNw0qadQATT7yMwQ,Cell NK,32,1891,3,2019/11/29,2019/02/18,973,1257,0.87,630.3,-1,0
https://www.youtube.com/channel/UCYQaNyBGIKe5a9u5toS1pKQ,Centurion,1090,172342,23,2022/03/11,2018/01/08,140,1663,5.05,7493.1,90,2
https://www.youtube.com/channel/UCHGp-2TawtOvC7wi3svsOjg,野良くま,367,18181,6,2020/10/27,2020/02/06,640,904,2.42,3030.2,9,-31
https://www.youtube.com/channel/UCSZYgH45UlKbE0jSAmZXIIA,からす,490,39096,9,2022/07/11,2021/01/07,18,568,5.78,4344.0,135,2
https://www.youtube.com/channel/UCt2ryxruFsE7tJ43VvHlbqQ,しえのチャンネル,115,12445,41,2020/12/25,2018/07/10,581,1480,10.11,303.5,3,2
https://www.youtube.com/channel/UCiR8_qI8pxowRy7Kkmd9ouQ,Yunagi Fleet,1320,172097,44,2022/04/01,2018/09/17,119,1411,11.38,3911.3,240,2
https://www.youtube.com/channel/UCYQm9zxlltBK-AMudYtWMRQ,なとりうむ。,180,4900,26,2022/03/27,2018/01/30,124,1641,5.78,188.5,0,1
